time_epoch,time_server,open,high,low,close,tick_volume,spread
1451606400,2016.01.01 00:00,2.03488,2.09206,1.98701,1.98955,4145209,0
1454284800,2016.02.01 00:00,1.98888,2.03100,1.87178,1.88283,5043835,0
1456790400,2016.03.01 00:00,1.88372,1.91605,1.84731,1.86736,4236507,0
1459468800,2016.04.01 00:00,1.86674,1.87360,1.81012,1.83309,3977562,0
1462060800,2016.05.01 00:00,1.83098,1.93000,1.82868,1.89539,3509770,0
1464739200,2016.06.01 00:00,1.89574,1.91264,1.71399,1.71987,3845426,0
1467331200,2016.07.01 00:00,1.72005,1.74517,1.66903,1.72376,3549796,0
1470009600,2016.08.01 00:00,1.72183,1.75430,1.66043,1.72138,3298962,0
1472688000,2016.09.01 00:00,1.72159,1.75226,1.68888,1.70268,3746681,0
1475280000,2016.10.01 00:00,1.69228,1.69860,1.52874,1.64126,3825991,0
1477958400,2016.11.01 00:00,1.64130,1.71174,1.63195,1.68010,4378282,0
1480550400,2016.12.01 00:00,1.67959,1.69834,1.60854,1.65520,3425340,0
1483228800,2017.01.01 00:00,1.65419,1.66266,1.57349,1.63836,4651939,0
1485907200,2017.02.01 00:00,1.63856,1.65579,1.62058,1.64649,3712383,0
1488326400,2017.03.01 00:00,1.64572,1.68874,1.62885,1.66845,4071657,0
1491004800,2017.04.01 00:00,1.66800,1.77148,1.65133,1.76670,2888036,0
1493596800,2017.05.01 00:00,1.76512,1.78515,1.71712,1.73990,3528773,0
1496275200,2017.06.01 00:00,1.73989,1.75324,1.67203,1.68713,3044394,0
1498867200,2017.07.01 00:00,1.68593,1.69045,1.62353,1.64822,2860603,43
1501545600,2017.08.01 00:00,1.64772,1.67224,1.60037,1.61311,2865854,43
1504224000,2017.09.01 00:00,1.61157,1.67963,1.59345,1.66927,1683982,0
1506816000,2017.10.01 00:00,1.66896,1.71387,1.63507,1.71176,1562548,0
1509494400,2017.11.01 00:00,1.71144,1.74569,1.65893,1.74388,1648338,0
1512086400,2017.12.01 00:00,1.74433,1.74659,1.68690,1.69665,1836434,0
1514764800,2018.01.01 00:00,1.69062,1.76406,1.67583,1.74687,4846852,0
1517443200,2018.02.01 00:00,1.74687,1.78036,1.73570,1.76499,4592401,1
1519862400,2018.03.01 00:00,1.76499,1.84157,1.76161,1.80668,4099926,1
1522540800,2018.04.01 00:00,1.80774,1.81791,1.76021,1.76643,2250158,1
1525132800,2018.05.01 00:00,1.76643,1.76818,1.70537,1.72231,3205907,1
1527811200,2018.06.01 00:00,1.72235,1.77043,1.71671,1.73384,2713665,1
1530403200,2018.07.01 00:00,1.73410,1.74781,1.70436,1.70629,2601346,1
1533081600,2018.08.01 00:00,1.70715,1.71155,1.65941,1.68930,2348064,4
1535760000,2018.09.01 00:00,1.68761,1.72026,1.67937,1.68160,2163613,9
1538352000,2018.10.01 00:00,1.67439,1.72842,1.65959,1.68009,2743034,4
1541030400,2018.11.01 00:00,1.68009,1.72839,1.67832,1.69411,2776786,4
1543622400,2018.12.01 00:00,1.68678,1.74951,1.66998,1.73920,2416830,14
1546300800,2019.01.01 00:00,1.73727,1.75273,1.67559,1.72021,2484528,18
1548979200,2019.02.01 00:00,1.72021,1.75501,1.69715,1.74654,2070457,20
1551398400,2019.03.01 00:00,1.74701,1.77945,1.73413,1.73922,2659666,20
1554076800,2019.04.01 00:00,1.74017,1.76149,1.73122,1.74471,2217733,20
1556668800,2019.05.01 00:00,1.74527,1.77272,1.69017,1.70713,3052450,20
1559347200,2019.06.01 00:00,1.70703,1.71125,1.65741,1.66167,3004536,18
1561939200,2019.07.01 00:00,1.66125,1.66410,1.59585,1.60309,1862551,11
1564617600,2019.08.01 00:00,1.60142,1.63563,1.58744,1.61852,2534726,9
1567296000,2019.09.01 00:00,1.61602,1.66888,1.59560,1.62700,1179308,11
1569888000,2019.10.01 00:00,1.62708,1.70933,1.61911,1.70196,1219005,8
1572566400,2019.11.01 00:00,1.70196,1.72687,1.68487,1.71502,840732,1
1575158400,2019.12.01 00:00,1.71319,1.77730,1.69807,1.71979,923047,7
1577836800,2020.01.01 00:00,1.71524,1.74794,1.69182,1.74715,980961,2
1580515200,2020.02.01 00:00,1.74341,1.74585,1.70194,1.71749,1067675,5
1583020800,2020.03.01 00:00,1.71862,1.80493,1.65340,1.74514,3297890,0
1585699200,2020.04.01 00:00,1.74583,1.76970,1.71753,1.75535,1556073,1
1588291200,2020.05.01 00:00,1.75507,1.77041,1.68437,1.69959,1468141,1
1590969600,2020.06.01 00:00,1.69743,1.71756,1.67498,1.68301,1962432,0
1593561600,2020.07.01 00:00,1.68314,1.76746,1.67753,1.75503,1688322,0
1596240000,2020.08.01 00:00,1.75244,1.75902,1.72163,1.74409,1624101,0
1598918400,2020.09.01 00:00,1.74373,1.75541,1.68104,1.72018,1860048,0
1601510400,2020.10.01 00:00,1.72046,1.73498,1.69049,1.72566,1644989,0
1604188800,2020.11.01 00:00,1.71984,1.74970,1.69761,1.73111,1837135,0
1606780800,2020.12.01 00:00,1.73095,1.74827,1.67689,1.73972,1864994,0
1609459200,2021.01.01 00:00,1.73554,1.76409,1.71748,1.75085,1880255,0
1612137600,2021.02.01 00:00,1.75175,1.78863,1.73498,1.77312,1576286,0
1614556800,2021.03.01 00:00,1.77262,1.77784,1.71783,1.73084,1907046,1
1617235200,2021.04.01 00:00,1.73078,1.75870,1.69538,1.69816,1390465,1
1619827200,2021.05.01 00:00,1.69389,1.71759,1.68521,1.71324,1481756,1
1622505600,2021.06.01 00:00,1.71348,1.72592,1.70074,1.71437,1464679,3
1625097600,2021.07.01 00:00,1.71427,1.75682,1.69736,1.73335,1738652,3
1627776000,2021.08.01 00:00,1.73292,1.76256,1.72617,1.73501,1346939,3
1630454400,2021.09.01 00:00,1.73483,1.76026,1.70502,1.70818,2074781,0
1633046400,2021.10.01 00:00,1.70748,1.71947,1.68919,1.69548,2172541,0
1635724800,2021.11.01 00:00,1.69259,1.71132,1.67161,1.69903,2177826,0
1638316800,2021.12.01 00:00,1.69866,1.72907,1.66387,1.70995,1964494,0
1640995200,2022.01.01 00:00,1.70882,1.73126,1.69486,1.70834,2028207,0
1643673600,2022.02.01 00:00,1.70807,1.73776,1.69795,1.70006,2255594,0
1646092800,2022.03.01 00:00,1.69914,1.70166,1.63163,1.64334,2761299,0
1648771200,2022.04.01 00:00,1.64237,1.65036,1.59237,1.61679,2083818,0
1651363200,2022.05.01 00:00,1.61515,1.62000,1.57756,1.59340,3079645,0
1654041600,2022.06.01 00:00,1.59297,1.60021,1.54834,1.56723,3358628,0
1656633600,2022.07.01 00:00,1.56684,1.56804,1.53507,1.55899,3337855,0
1659312000,2022.08.01 00:00,1.55550,1.57685,1.52100,1.52564,3035025,0
1661990400,2022.09.01 00:00,1.52535,1.54402,1.40697,1.54287,2999943,9
1664582400,2022.10.01 00:00,1.54033,1.58142,1.51017,1.56174,3520559,0
1667260800,2022.11.01 00:00,1.56174,1.63664,1.51688,1.61672,3833595,0
1669852800,2022.12.01 00:00,1.61728,1.68478,1.61655,1.63849,2511087,0
1672531200,2023.01.01 00:00,1.63657,1.66923,1.61017,1.63890,2910118,0
1675209600,2023.02.01 00:00,1.63843,1.65220,1.60771,1.64050,2346109,0
1677628800,2023.03.01 00:00,1.64024,1.68656,1.62199,1.66627,2822112,0
1680307200,2023.04.01 00:00,1.66270,1.70667,1.65383,1.70194,2143148,0
1682899200,2023.05.01 00:00,1.69908,1.71456,1.67153,1.68859,2821436,0
1685577600,2023.06.01 00:00,1.68821,1.69786,1.66027,1.68126,2760900,0
1688169600,2023.07.01 00:00,1.67972,1.73348,1.67773,1.69210,1029198,0
1690848000,2023.08.01 00:00,1.69225,1.73147,1.68726,1.71176,1729287,0
1693526400,2023.09.01 00:00,1.71032,1.72048,1.63577,1.65676,2435326,0
1696118400,2023.10.01 00:00,1.65386,1.68668,1.64962,1.68502,2154443,0
1698796800,2023.11.01 00:00,1.68502,1.72717,1.67419,1.71172,1247933,0
1701388800,2023.12.01 00:00,1.71109,1.71799,1.67857,1.68589,1299980,0
1704067200,2024.01.01 00:00,1.68590,1.72200,1.67866,1.70434,1731657,0
1706745600,2024.02.01 00:00,1.70432,1.72187,1.69208,1.71367,1712680,0
1709251200,2024.03.01 00:00,1.71400,1.73420,1.70695,1.70754,1238539,0
1711929600,2024.04.01 00:00,1.70591,1.72409,1.68835,1.72093,1239014,0
1714521600,2024.05.01 00:00,1.72063,1.74531,1.70816,1.73609,1061202,0
1717200000,2024.06.01 00:00,1.73600,1.76054,1.72641,1.72940,1037813,0
1719792000,2024.07.01 00:00,1.72900,1.78515,1.72727,1.77488,1086237,0
1722470400,2024.08.01 00:00,1.77486,1.78678,1.74080,1.77076,1204435,0
1725148800,2024.09.01 00:00,1.76988,1.81446,1.76837,1.80869,1084340,0
1727740800,2024.10.01 00:00,1.80730,1.81502,1.77186,1.79580,1062112,0
1730419200,2024.11.01 00:00,1.79580,1.80663,1.74789,1.78233,1066478,0
1733011200,2024.12.01 00:00,1.78050,1.82319,1.77473,1.79858,854024,0
1735689600,2025.01.01 00:00,1.79958,1.81237,1.74570,1.80120,960462,0
1738368000,2025.02.01 00:00,1.81226,1.82337,1.76760,1.81759,1201128,0
1740787200,2025.03.01 00:00,1.81712,1.87787,1.81446,1.85780,2169419,2
1743465600,2025.04.01 00:00,1.85809,1.86508,1.79783,1.83855,3433217,0
1746057600,2025.05.01 00:00,1.83833,1.86918,1.82637,1.84669,2227181,0
1748736000,2025.06.01 00:00,1.84801,1.88281,1.83048,1.86756,2166388,1
1751328000,2025.07.01 00:00,1.86782,1.87595,1.82500,1.82837,2112086,1
1754006400,2025.08.01 00:00,1.82857,1.87370,1.82269,1.85441,1956598,0
1756684800,2025.09.01 00:00,1.85182,1.88427,1.84008,1.86985,1454908,1
1759276800,2025.10.01 00:00,1.87095,1.89146,1.83242,1.84085,1438542,1
1761955200,2025.11.01 00:00,1.83910,1.86220,1.83249,1.84771,1610897,1
1764547200,2025.12.01 00:00,1.84757,1.86681,1.83473,1.84767,1703134,1
1767225600,2026.01.01 00:00,1.84681,1.88179,1.84342,1.86259,1802537,2
1769904000,2026.02.01 00:00,1.86012,1.87433,1.83299,1.83855,1750449,1
1772323200,2026.03.01 00:00,1.83098,1.85149,1.80207,1.83945,4981091,0
1775001600,2026.04.01 00:00,1.83866,1.86950,1.83608,1.84700,3305289,0
1777593600,2026.05.01 00:00,1.84649,1.86776,1.82989,1.85592,3100065,0
1780272000,2026.06.01 00:00,1.85478,1.88486,1.85441,1.88251,4430360,0
