moeda,dia,direcao,magnitude_atrs,n_pares_alinhados,eficiencia,ancora_a2010,ancora_romp,fim,duracao_min_a2010,sessoes_cobertas,sessao_nascimento,split
GBP,2021-02-04,1,1.0666,7,0.3632,2021-02-04 14:30:00,2021-02-04 14:30:00,2021-02-04 23:00:00,510,londres+ny,londres,treino
AUD,2021-02-19,1,1.5428,7,0.5891,2021-02-19 08:30:00,2021-02-19 02:30:00,2021-02-19 23:30:00,900,toquio+londres+ny,toquio,treino
CHF,2021-02-19,-1,1.0187,7,0.5542,2021-02-19 12:00:00,2021-02-19 05:30:00,2021-02-19 23:30:00,690,londres+ny,londres,treino
NZD,2021-02-19,1,1.0803,6,0.4243,2021-02-19 09:30:00,2021-02-19 05:30:00,2021-02-19 18:30:00,540,toquio+londres+ny,toquio,treino
CHF,2021-02-23,-1,2.074,7,0.5512,2021-02-23 10:30:00,2021-02-23 10:00:00,2021-02-23 23:30:00,780,toquio+londres+ny,toquio,treino
JPY,2021-02-24,-1,1.5035,7,0.4884,2021-02-24 03:30:00,2021-02-24 02:30:00,2021-02-24 23:30:00,1200,toquio+londres+ny,toquio,treino
NZD,2021-02-24,1,1.7156,7,0.492,2021-02-24 03:30:00,2021-02-24 02:30:00,2021-02-24 23:00:00,1170,toquio+londres+ny,toquio,treino
AUD,2021-02-25,-1,1.462,7,0.3452,2021-02-25 17:30:00,2021-02-25 15:00:00,2021-02-25 23:00:00,330,londres+ny,londres,treino
CHF,2021-02-25,1,1.2328,7,0.3468,2021-02-25 17:30:00,2021-02-25 16:30:00,2021-02-26 00:00:00,390,londres+ny,londres,treino
EUR,2021-02-25,1,1.0723,6,0.3193,2021-02-25 10:30:00,2021-02-25 05:00:00,2021-02-25 19:30:00,540,toquio+londres+ny,toquio,treino
AUD,2021-02-26,-1,1.9901,7,0.4197,2021-02-26 06:30:00,2021-02-26 02:30:00,2021-02-26 23:00:00,990,toquio+londres+ny,toquio,treino
NZD,2021-02-26,-1,1.2983,6,0.3264,2021-02-26 12:00:00,2021-02-26 02:30:00,2021-02-26 23:00:00,660,londres+ny,londres,treino
CHF,2021-03-01,-1,1.064,7,0.3546,2021-03-01 09:30:00,2021-03-01 02:30:00,2021-03-01 21:30:00,720,toquio+londres+ny,toquio,treino
CAD,2021-03-12,1,1.0543,7,0.5444,2021-03-12 11:00:00,2021-03-12 02:30:00,2021-03-12 22:00:00,660,toquio+londres+ny,toquio,treino
AUD,2021-03-23,-1,1.0633,6,0.3687,2021-03-23 04:30:00,2021-03-23 02:30:00,2021-03-24 00:00:00,1170,toquio+londres+ny,toquio,treino
JPY,2021-03-23,1,1.5583,7,0.5281,2021-03-23 06:30:00,2021-03-23 02:30:00,2021-03-24 00:00:00,1050,toquio+londres+ny,toquio,treino
NZD,2021-03-23,-1,1.5161,7,0.449,2021-03-23 03:30:00,2021-03-23 02:30:00,2021-03-23 21:00:00,1050,toquio+londres+ny,toquio,treino
USD,2021-03-23,1,1.0359,6,0.5328,2021-03-23 05:00:00,2021-03-23 02:30:00,2021-03-24 00:00:00,1140,toquio+londres+ny,toquio,treino
GBP,2021-04-06,-1,1.2625,7,0.5225,2021-04-06 11:30:00,2021-04-06 10:00:00,2021-04-07 00:00:00,750,toquio+londres+ny,toquio,treino
AUD,2021-04-14,1,1.1652,6,0.5058,2021-04-14 08:30:00,2021-04-14 05:30:00,2021-04-14 20:00:00,690,toquio+londres+ny,toquio,treino
NZD,2021-04-14,1,1.3653,7,0.5035,2021-04-14 06:00:00,2021-04-14 05:30:00,2021-04-14 18:30:00,750,toquio+londres+ny,toquio,treino
CAD,2021-04-19,-1,1.1395,7,0.5199,2021-04-19 11:30:00,2021-04-19 08:30:00,2021-04-19 21:30:00,600,toquio+londres+ny,toquio,treino
GBP,2021-04-19,1,1.2162,7,0.4435,2021-04-19 15:00:00,2021-04-19 13:00:00,2021-04-19 22:30:00,450,londres+ny,londres,treino
CAD,2021-04-21,1,1.1606,7,0.4032,2021-04-21 17:30:00,2021-04-21 17:30:00,2021-04-21 18:00:00,30,londres+ny,londres,treino
USD,2021-04-30,1,1.0735,7,0.445,2021-04-30 14:00:00,2021-04-30 08:30:00,2021-04-30 22:30:00,510,londres+ny,londres,treino
GBP,2021-05-10,1,1.119,7,0.3912,2021-05-10 08:30:00,2021-05-10 07:30:00,2021-05-10 21:30:00,780,toquio+londres+ny,toquio,treino
AUD,2021-05-12,-1,1.1462,7,0.4701,2021-05-12 05:00:00,2021-05-12 03:30:00,2021-05-12 22:30:00,1050,toquio+londres+ny,toquio,treino
NZD,2021-05-12,-1,1.0173,6,0.4361,2021-05-12 07:00:00,2021-05-12 04:00:00,2021-05-12 23:00:00,960,toquio+londres+ny,toquio,treino
USD,2021-05-12,1,1.1751,7,0.4767,2021-05-12 16:30:00,2021-05-12 03:30:00,2021-05-13 00:00:00,450,londres+ny,londres,treino
NZD,2021-05-26,1,1.3709,7,0.3546,2021-05-26 05:30:00,2021-05-26 03:30:00,2021-05-26 23:00:00,1050,toquio+londres+ny,toquio,treino
JPY,2021-05-27,-1,1.2628,7,0.4666,2021-05-27 14:30:00,2021-05-27 10:00:00,2021-05-27 21:00:00,390,londres+ny,londres,treino
USD,2021-06-03,1,1.1609,7,0.4539,2021-06-03 14:00:00,2021-06-03 05:00:00,2021-06-03 21:30:00,450,londres+ny,londres,treino
USD,2021-06-16,1,1.4852,7,0.4828,2021-06-16 21:30:00,2021-06-16 21:30:00,2021-06-17 00:00:00,150,ny,ny,treino
CHF,2021-06-17,-1,1.0621,7,0.4244,2021-06-17 10:00:00,2021-06-17 05:30:00,2021-06-17 20:00:00,600,toquio+londres+ny,toquio,treino
JPY,2021-06-17,1,2.3056,7,0.5715,2021-06-17 10:30:00,2021-06-17 09:00:00,2021-06-17 19:30:00,540,toquio+londres+ny,toquio,treino
JPY,2021-06-18,1,1.4205,7,0.3749,2021-06-18 05:30:00,2021-06-18 03:30:00,2021-06-19 00:00:00,1110,toquio+londres+ny,toquio,treino
CAD,2021-07-06,-1,1.0633,7,0.3456,2021-07-06 11:30:00,2021-07-06 03:30:00,2021-07-06 17:30:00,360,toquio+londres+ny,toquio,treino
AUD,2021-07-08,-1,1.2406,6,0.3507,2021-07-08 05:00:00,2021-07-08 03:30:00,2021-07-08 18:00:00,780,toquio+londres+ny,toquio,treino
CHF,2021-07-08,1,2.2816,7,0.5589,2021-07-08 10:30:00,2021-07-08 03:30:00,2021-07-08 18:00:00,450,toquio+londres+ny,toquio,treino
JPY,2021-07-08,1,1.1366,6,0.3122,2021-07-08 04:00:00,2021-07-08 03:30:00,2021-07-08 18:00:00,840,toquio+londres+ny,toquio,treino
NZD,2021-07-08,-1,1.3902,7,0.4391,2021-07-08 05:00:00,2021-07-08 03:30:00,2021-07-08 18:00:00,780,toquio+londres+ny,toquio,treino
NZD,2021-07-14,1,1.2431,7,0.3562,2021-07-14 04:00:00,2021-07-14 03:30:00,2021-07-14 09:30:00,330,toquio,toquio,treino
CAD,2021-07-19,-1,1.0277,7,0.3172,2021-07-19 08:30:00,2021-07-19 03:30:00,2021-07-19 13:30:00,300,toquio+londres,toquio,treino
JPY,2021-07-19,1,1.0331,7,0.3374,2021-07-19 10:30:00,2021-07-19 10:30:00,2021-07-19 17:30:00,420,toquio+londres+ny,toquio,treino
NZD,2021-08-17,-1,1.4959,7,0.3199,2021-08-17 06:00:00,2021-08-17 04:30:00,2021-08-17 13:30:00,450,toquio+londres,toquio,treino
USD,2021-08-17,1,1.1559,7,0.4191,2021-08-17 06:00:00,2021-08-17 03:30:00,2021-08-17 20:00:00,840,toquio+londres+ny,toquio,treino
AUD,2021-08-19,-1,1.1382,6,0.369,2021-08-19 06:00:00,2021-08-19 03:30:00,2021-08-19 12:30:00,390,toquio+londres,toquio,treino
CAD,2021-08-19,-1,1.4872,7,0.4869,2021-08-19 09:30:00,2021-08-19 08:00:00,2021-08-20 00:00:00,870,toquio+londres+ny,toquio,treino
JPY,2021-08-19,1,1.0971,7,0.3252,2021-08-19 09:30:00,2021-08-19 09:00:00,2021-08-19 12:30:00,180,toquio+londres,toquio,treino
CAD,2021-08-23,1,1.285,7,0.5355,2021-08-23 04:30:00,2021-08-23 03:30:00,2021-08-23 22:00:00,1050,toquio+londres+ny,toquio,treino
USD,2021-08-23,-1,1.1474,7,0.4947,2021-08-23 05:00:00,2021-08-23 03:30:00,2021-08-23 22:00:00,1020,toquio+londres+ny,toquio,treino
GBP,2021-09-20,-1,1.1069,7,0.3756,2021-09-20 10:00:00,2021-09-20 07:30:00,2021-09-20 22:00:00,720,toquio+londres+ny,toquio,treino
JPY,2021-09-23,-1,1.6044,7,0.5245,2021-09-23 09:30:00,2021-09-23 03:30:00,2021-09-23 22:00:00,750,toquio+londres+ny,toquio,treino
GBP,2021-09-28,-1,1.3678,7,0.5098,2021-09-28 13:30:00,2021-09-28 11:00:00,2021-09-28 17:30:00,240,londres+ny,londres,treino
USD,2021-09-29,1,1.1592,7,0.4317,2021-09-29 14:30:00,2021-09-29 10:00:00,2021-09-29 23:30:00,540,londres+ny,londres,treino
EUR,2021-09-30,-1,1.0652,7,0.4647,2021-09-30 09:00:00,2021-09-30 03:30:00,2021-10-01 00:00:00,900,toquio+londres+ny,toquio,treino
AUD,2021-10-11,1,1.1204,7,0.5061,2021-10-11 04:00:00,2021-10-11 03:30:00,2021-10-11 19:00:00,900,toquio+londres+ny,toquio,treino
JPY,2021-10-11,-1,1.3048,7,0.5099,2021-10-11 04:30:00,2021-10-11 03:30:00,2021-10-11 19:00:00,870,toquio+londres+ny,toquio,treino
NZD,2021-10-14,1,1.0674,7,0.5159,2021-10-14 10:00:00,2021-10-14 03:30:00,2021-10-14 23:00:00,780,toquio+londres+ny,toquio,treino
EUR,2021-10-29,-1,1.3418,7,0.5294,2021-10-29 12:00:00,2021-10-29 04:30:00,2021-10-29 20:00:00,480,toquio+londres+ny,toquio,treino
CHF,2021-11-01,1,1.0143,7,0.4395,2021-11-01 12:00:00,2021-11-01 09:00:00,2021-11-01 22:30:00,630,londres+ny,londres,treino
AUD,2021-11-02,-1,1.3022,7,0.4359,2021-11-02 06:00:00,2021-11-02 05:30:00,2021-11-02 19:30:00,810,toquio+londres+ny,toquio,treino
GBP,2021-11-04,-1,1.5669,7,0.5143,2021-11-04 14:30:00,2021-11-04 10:00:00,2021-11-04 18:00:00,210,londres+ny,londres,treino
JPY,2021-11-04,1,1.1708,7,0.5382,2021-11-04 10:30:00,2021-11-04 05:30:00,2021-11-04 17:30:00,420,toquio+londres+ny,toquio,treino
USD,2021-11-10,1,1.287,7,0.4681,2021-11-10 13:30:00,2021-11-10 03:00:00,2021-11-10 23:00:00,570,londres+ny,londres,treino
EUR,2021-11-15,-1,1.0383,7,0.4543,2021-11-15 14:00:00,2021-11-15 10:00:00,2021-11-15 23:00:00,540,londres+ny,londres,treino
NZD,2021-11-24,-1,1.2604,7,0.3874,2021-11-24 03:30:00,2021-11-24 03:00:00,2021-11-24 20:00:00,990,toquio+londres+ny,toquio,treino
CAD,2021-11-26,-1,2.1124,7,0.4257,2021-11-26 05:00:00,2021-11-26 02:30:00,2021-11-26 23:00:00,1080,toquio+londres+ny,toquio,treino
CHF,2021-11-26,1,1.6264,6,0.3554,2021-11-26 05:00:00,2021-11-26 02:30:00,2021-11-26 22:00:00,1020,toquio+londres+ny,toquio,treino
JPY,2021-11-26,1,2.0012,7,0.3048,2021-11-26 05:00:00,2021-11-26 02:30:00,2021-11-26 20:00:00,900,toquio+londres+ny,toquio,treino
AUD,2021-12-03,-1,1.3143,7,0.4803,2021-12-03 11:00:00,2021-12-03 02:30:00,2021-12-03 22:00:00,660,toquio+londres+ny,toquio,treino
CHF,2021-12-06,-1,1.0595,7,0.479,2021-12-06 04:30:00,2021-12-06 02:30:00,2021-12-06 20:00:00,930,toquio+londres+ny,toquio,treino
JPY,2022-01-04,-1,1.3302,7,0.4225,2022-01-04 05:00:00,2022-01-04 02:30:00,2022-01-04 18:00:00,780,toquio+londres+ny,toquio,treino
AUD,2022-01-06,-1,1.0109,7,0.4134,2022-01-06 04:30:00,2022-01-06 02:30:00,2022-01-06 17:00:00,750,toquio+londres+ny,toquio,treino
CHF,2022-01-10,-1,1.4107,7,0.6479,2022-01-10 09:30:00,2022-01-10 04:00:00,2022-01-10 23:00:00,810,toquio+londres+ny,toquio,treino
USD,2022-01-12,-1,1.2484,7,0.4278,2022-01-12 16:00:00,2022-01-12 13:30:00,2022-01-12 22:00:00,360,londres+ny,londres,treino
CHF,2022-01-21,1,1.1945,7,0.4231,2022-01-21 04:00:00,2022-01-21 02:30:00,2022-01-21 22:00:00,1080,toquio+londres+ny,toquio,treino
USD,2022-01-27,1,1.1733,7,0.4656,2022-01-27 03:30:00,2022-01-27 02:30:00,2022-01-27 22:00:00,1110,toquio+londres+ny,toquio,treino
EUR,2022-02-03,1,1.9057,7,0.5782,2022-02-03 16:00:00,2022-02-03 16:00:00,2022-02-03 23:30:00,450,londres+ny,londres,treino
JPY,2022-02-03,-1,1.1959,7,0.5235,2022-02-03 10:00:00,2022-02-03 02:30:00,2022-02-04 00:00:00,840,toquio+londres+ny,toquio,treino
CHF,2022-02-22,-1,1.022,7,0.3263,2022-02-22 10:30:00,2022-02-22 10:00:00,2022-02-22 17:30:00,420,toquio+londres+ny,toquio,treino
USD,2022-02-28,-1,1.009,7,0.332,2022-02-28 12:30:00,2022-02-28 09:30:00,2022-03-01 00:00:00,690,londres+ny,londres,treino
EUR,2022-03-04,-1,1.562,7,0.4629,2022-03-04 05:30:00,2022-03-04 02:30:00,2022-03-04 22:00:00,990,toquio+londres+ny,toquio,treino
GBP,2022-03-04,-1,1.1111,6,0.4809,2022-03-04 10:30:00,2022-03-04 09:00:00,2022-03-04 22:00:00,690,toquio+londres+ny,toquio,treino
NZD,2022-03-04,1,1.1726,7,0.365,2022-03-04 08:30:00,2022-03-04 05:30:00,2022-03-04 22:00:00,810,toquio+londres+ny,toquio,treino
EUR,2022-03-09,1,1.2474,7,0.3331,2022-03-09 14:00:00,2022-03-09 02:30:00,2022-03-09 20:00:00,360,londres+ny,londres,treino
AUD,2022-03-14,-1,1.0483,7,0.4245,2022-03-14 03:00:00,2022-03-14 02:30:00,2022-03-14 20:30:00,1050,toquio+londres+ny,toquio,treino
JPY,2022-03-22,-1,1.6178,7,0.48,2022-03-22 06:30:00,2022-03-22 02:30:00,2022-03-22 22:30:00,960,toquio+londres+ny,toquio,treino
NZD,2022-03-22,1,1.1058,7,0.5078,2022-03-22 06:30:00,2022-03-22 04:30:00,2022-03-23 00:00:00,1050,toquio+londres+ny,toquio,treino
JPY,2022-03-24,-1,1.1208,7,0.4448,2022-03-24 11:30:00,2022-03-24 08:00:00,2022-03-25 00:00:00,750,londres+ny,londres,treino
EUR,2022-04-04,-1,1.0406,7,0.6409,2022-04-04 10:00:00,2022-04-04 03:30:00,2022-04-04 21:30:00,690,toquio+londres+ny,toquio,treino
GBP,2022-04-13,1,1.2388,7,0.578,2022-04-13 11:30:00,2022-04-13 06:00:00,2022-04-13 23:30:00,720,toquio+londres+ny,toquio,treino
NZD,2022-04-13,-1,1.3124,7,0.4696,2022-04-13 07:30:00,2022-04-13 06:00:00,2022-04-13 22:00:00,870,toquio+londres+ny,toquio,treino
JPY,2022-04-19,-1,1.3704,7,0.4419,2022-04-19 05:00:00,2022-04-19 03:30:00,2022-04-19 22:30:00,1050,toquio+londres+ny,toquio,treino
AUD,2022-04-22,-1,1.0203,7,0.3638,2022-04-22 06:30:00,2022-04-22 06:30:00,2022-04-22 22:00:00,930,toquio+londres+ny,toquio,treino
GBP,2022-04-22,-1,1.2472,6,0.4023,2022-04-22 10:00:00,2022-04-22 09:30:00,2022-04-22 22:00:00,720,toquio+londres+ny,toquio,treino
USD,2022-04-22,1,1.0801,7,0.4108,2022-04-22 10:00:00,2022-04-22 03:30:00,2022-04-22 19:30:00,570,toquio+londres+ny,toquio,treino
GBP,2022-04-26,-1,1.1325,7,0.5025,2022-04-26 12:30:00,2022-04-26 08:00:00,2022-04-27 00:00:00,690,londres+ny,londres,treino
GBP,2022-04-29,1,1.2079,7,0.5642,2022-04-29 10:00:00,2022-04-29 07:00:00,2022-04-30 00:00:00,840,toquio+londres+ny,toquio,treino
AUD,2022-05-04,1,1.2909,7,0.5241,2022-05-04 14:00:00,2022-05-04 05:00:00,2022-05-04 23:00:00,540,londres+ny,londres,treino
USD,2022-05-04,-1,1.1557,7,0.4584,2022-05-04 21:30:00,2022-05-04 18:00:00,2022-05-05 00:00:00,150,ny,ny,treino
USD,2022-05-05,1,1.2959,7,0.3986,2022-05-05 10:00:00,2022-05-05 06:30:00,2022-05-05 21:00:00,660,toquio+londres+ny,toquio,treino
EUR,2022-05-12,-1,1.0033,7,0.3591,2022-05-12 10:30:00,2022-05-12 10:30:00,2022-05-12 20:00:00,570,toquio+londres+ny,toquio,treino
JPY,2022-05-12,1,1.4764,7,0.3498,2022-05-12 08:30:00,2022-05-12 06:00:00,2022-05-12 22:00:00,810,toquio+londres+ny,toquio,treino
CHF,2022-05-18,1,1.1597,6,0.4461,2022-05-18 17:30:00,2022-05-18 17:30:00,2022-05-19 00:00:00,390,londres+ny,londres,treino
JPY,2022-05-18,1,1.1287,7,0.4493,2022-05-18 06:30:00,2022-05-18 03:30:00,2022-05-18 23:30:00,1020,toquio+londres+ny,toquio,treino
GBP,2022-06-10,-1,1.1288,7,0.4309,2022-06-10 09:30:00,2022-06-10 03:30:00,2022-06-10 21:30:00,720,toquio+londres+ny,toquio,treino
JPY,2022-06-13,1,1.0708,7,0.3241,2022-06-13 11:00:00,2022-06-13 09:30:00,2022-06-13 18:00:00,420,toquio+londres+ny,toquio,treino
AUD,2022-06-15,1,1.1353,7,0.4297,2022-06-15 04:30:00,2022-06-15 03:30:00,2022-06-15 22:30:00,1080,toquio+londres+ny,toquio,treino
CAD,2022-06-16,-1,1.9532,7,0.6175,2022-06-16 12:00:00,2022-06-16 05:30:00,2022-06-16 22:00:00,600,toquio+londres+ny,toquio,treino
CHF,2022-06-16,1,2.3467,7,0.4117,2022-06-16 11:00:00,2022-06-16 07:00:00,2022-06-16 18:00:00,420,toquio+londres+ny,toquio,treino
JPY,2022-06-17,-1,1.017,7,0.382,2022-06-17 04:00:00,2022-06-17 03:30:00,2022-06-17 12:30:00,510,toquio+londres,toquio,treino
JPY,2022-07-28,1,1.2423,7,0.4846,2022-07-28 04:30:00,2022-07-28 04:00:00,2022-07-28 20:30:00,960,toquio+londres+ny,toquio,treino
USD,2022-08-10,-1,1.2947,7,0.4831,2022-08-10 12:30:00,2022-08-10 10:00:00,2022-08-10 18:00:00,330,londres+ny,londres,treino
JPY,2022-09-06,-1,1.3643,7,0.4767,2022-09-06 08:00:00,2022-09-06 03:30:00,2022-09-06 19:00:00,660,toquio+londres+ny,toquio,treino
JPY,2022-09-07,-1,1.0685,7,0.3387,2022-09-07 06:30:00,2022-09-07 05:30:00,2022-09-07 20:00:00,810,toquio+londres+ny,toquio,treino
AUD,2022-09-13,-1,1.0255,6,0.357,2022-09-13 16:00:00,2022-09-13 15:30:00,2022-09-13 23:30:00,450,londres+ny,londres,treino
NZD,2022-09-13,-1,1.1265,7,0.4451,2022-09-13 15:00:00,2022-09-13 04:30:00,2022-09-13 22:30:00,450,londres+ny,londres,treino
USD,2022-09-13,1,1.6613,7,0.4448,2022-09-13 16:00:00,2022-09-13 16:00:00,2022-09-14 00:00:00,480,londres+ny,londres,treino
GBP,2022-09-23,-1,2.9158,7,0.5654,2022-09-23 13:00:00,2022-09-23 03:30:00,2022-09-24 00:00:00,660,londres+ny,londres,treino
USD,2022-09-23,1,1.3746,7,0.4419,2022-09-23 10:30:00,2022-09-23 05:00:00,2022-09-23 22:00:00,690,toquio+londres+ny,toquio,treino
GBP,2022-09-29,1,1.5664,7,0.49,2022-09-29 12:30:00,2022-09-29 10:00:00,2022-09-30 00:00:00,690,londres+ny,londres,treino
NZD,2022-09-30,-1,1.5111,7,0.6307,2022-09-30 12:30:00,2022-09-30 03:30:00,2022-09-30 23:00:00,630,londres+ny,londres,treino
CHF,2022-10-03,-1,1.2416,7,0.535,2022-10-03 10:30:00,2022-10-03 03:30:00,2022-10-03 23:00:00,750,toquio+londres+ny,toquio,treino
GBP,2022-11-03,-1,1.2548,7,0.5135,2022-11-03 10:30:00,2022-11-03 09:00:00,2022-11-03 21:30:00,660,toquio+londres+ny,toquio,treino
USD,2022-11-04,-1,1.5146,7,0.5302,2022-11-04 06:30:00,2022-11-04 02:30:00,2022-11-04 22:30:00,960,toquio+londres+ny,toquio,treino
CHF,2022-11-09,1,1.0135,7,0.5689,2022-11-09 11:30:00,2022-11-09 09:00:00,2022-11-10 00:00:00,750,londres+ny,londres,treino
JPY,2022-11-10,1,1.3103,7,0.5086,2022-11-10 16:00:00,2022-11-10 09:30:00,2022-11-10 23:30:00,450,londres+ny,londres,treino
USD,2022-11-10,-1,1.6651,7,0.4157,2022-11-10 16:00:00,2022-11-10 16:00:00,2022-11-10 23:30:00,450,londres+ny,londres,treino
CHF,2022-11-11,1,1.247,7,0.3177,2022-11-11 15:00:00,2022-11-11 13:30:00,2022-11-11 23:30:00,510,londres+ny,londres,treino
USD,2022-11-11,-1,1.0574,7,0.3765,2022-11-11 09:30:00,2022-11-11 07:00:00,2022-11-11 22:00:00,750,toquio+londres+ny,toquio,treino
AUD,2022-12-15,-1,1.2371,7,0.4558,2022-12-15 07:00:00,2022-12-15 04:00:00,2022-12-15 20:00:00,780,toquio+londres+ny,toquio,treino
GBP,2022-12-15,-1,1.0275,6,0.3298,2022-12-15 15:00:00,2022-12-15 14:00:00,2022-12-15 23:00:00,480,londres+ny,londres,treino
USD,2022-12-15,1,1.0914,7,0.4142,2022-12-15 07:00:00,2022-12-15 03:30:00,2022-12-15 20:00:00,780,toquio+londres+ny,toquio,treino
JPY,2022-12-20,1,3.3571,7,0.4679,2022-12-20 05:30:00,2022-12-20 05:30:00,2022-12-20 20:00:00,870,toquio+londres+ny,toquio,treino
CAD,2023-01-04,1,1.0654,6,0.389,2023-01-04 16:00:00,2023-01-04 13:30:00,2023-01-05 00:00:00,480,londres+ny,londres,treino
JPY,2023-01-04,-1,1.2516,7,0.4932,2023-01-04 12:30:00,2023-01-04 10:30:00,2023-01-04 23:30:00,660,londres+ny,londres,treino
USD,2023-01-06,-1,1.278,7,0.3273,2023-01-06 17:30:00,2023-01-06 17:30:00,2023-01-06 22:30:00,300,londres+ny,londres,treino
CHF,2023-01-11,-1,1.2275,7,0.4306,2023-01-11 14:00:00,2023-01-11 12:00:00,2023-01-11 23:30:00,570,londres+ny,londres,treino
JPY,2023-01-12,1,1.3099,7,0.4775,2023-01-12 10:30:00,2023-01-12 02:30:00,2023-01-12 23:00:00,750,toquio+londres+ny,toquio,treino
NZD,2023-01-20,1,1.0043,7,0.4716,2023-01-20 04:00:00,2023-01-20 02:30:00,2023-01-20 23:30:00,1170,toquio+londres+ny,toquio,treino
CHF,2023-01-31,1,1.1187,7,0.4624,2023-01-31 14:30:00,2023-01-31 03:00:00,2023-02-01 00:00:00,570,londres+ny,londres,treino
NZD,2023-02-03,-1,1.1348,7,0.4452,2023-02-03 16:00:00,2023-02-03 16:00:00,2023-02-03 23:00:00,420,londres+ny,londres,treino
USD,2023-02-03,1,1.5343,7,0.5201,2023-02-03 16:00:00,2023-02-03 15:30:00,2023-02-04 00:00:00,480,londres+ny,londres,treino
CAD,2023-02-10,1,1.2184,7,0.5677,2023-02-10 15:30:00,2023-02-10 11:00:00,2023-02-10 22:00:00,390,londres+ny,londres,treino
JPY,2023-02-13,-1,1.0724,7,0.4503,2023-02-13 06:00:00,2023-02-13 03:00:00,2023-02-13 18:00:00,720,toquio+londres+ny,toquio,treino
GBP,2023-02-21,1,1.3452,7,0.4552,2023-02-21 12:00:00,2023-02-21 12:00:00,2023-02-21 20:00:00,480,londres+ny,londres,treino
AUD,2023-03-07,-1,1.3253,7,0.4537,2023-03-07 06:00:00,2023-03-07 06:00:00,2023-03-07 21:30:00,930,toquio+londres+ny,toquio,treino
USD,2023-03-07,1,1.6029,7,0.5358,2023-03-07 14:00:00,2023-03-07 10:30:00,2023-03-07 23:30:00,570,londres+ny,londres,treino
CHF,2023-03-09,1,1.0406,7,0.3823,2023-03-09 18:30:00,2023-03-09 17:00:00,2023-03-10 00:00:00,330,londres+ny,londres,treino
CHF,2023-03-15,-1,1.7187,7,0.3579,2023-03-15 18:00:00,2023-03-15 10:30:00,2023-03-15 22:30:00,270,londres+ny,londres,treino
JPY,2023-03-15,1,1.689,7,0.3136,2023-03-15 12:00:00,2023-03-15 11:30:00,2023-03-15 18:30:00,390,londres+ny,londres,treino
CHF,2023-03-21,1,1.0852,7,0.4952,2023-03-21 11:00:00,2023-03-21 02:30:00,2023-03-21 18:30:00,450,toquio+londres+ny,toquio,treino
AUD,2023-04-03,1,1.31,7,0.5559,2023-04-03 05:00:00,2023-04-03 03:30:00,2023-04-03 19:30:00,870,toquio+londres+ny,toquio,treino
USD,2023-04-03,-1,1.0129,7,0.43,2023-04-03 11:00:00,2023-04-03 10:00:00,2023-04-03 23:00:00,720,toquio+londres+ny,toquio,treino
EUR,2023-04-26,1,1.0222,7,0.3885,2023-04-26 09:00:00,2023-04-26 05:30:00,2023-04-26 16:30:00,450,toquio+londres+ny,toquio,treino
GBP,2023-04-28,1,1.1042,6,0.417,2023-04-28 10:30:00,2023-04-28 07:30:00,2023-04-28 19:30:00,540,toquio+londres+ny,toquio,treino
JPY,2023-04-28,-1,2.3757,7,0.4957,2023-04-28 07:30:00,2023-04-28 07:30:00,2023-04-28 17:30:00,600,toquio+londres+ny,toquio,treino
CAD,2023-05-02,-1,1.1757,7,0.5253,2023-05-02 09:30:00,2023-05-02 03:30:00,2023-05-02 20:00:00,630,toquio+londres+ny,toquio,treino
EUR,2023-05-04,-1,1.1954,7,0.4051,2023-05-04 11:00:00,2023-05-04 03:30:00,2023-05-04 20:00:00,540,toquio+londres+ny,toquio,treino
NZD,2023-05-04,1,1.2023,7,0.4929,2023-05-04 04:30:00,2023-05-04 03:30:00,2023-05-04 20:00:00,930,toquio+londres+ny,toquio,treino
