t,moeda,met_s,met_zs,met_vel,met_acel,met_zvel,met_cesta,met_mtf,met_veto,met_candidata,met_rank_h1,ctx_s_MN1,ctx_s_W1,ctx_s_D1,ctx_s_H4,ctx_s_H1,ctx_s_M30,met_zmov,met_zhist,sessao,minutos_sessao,flag_dst,cesta_path,a1_30,a2_30,a3_30,a1_60,a2_60,a3_60,a1_120,a2_120,a3_120,a1_240,a2_240,a3_240,a2_fim_sessao,a2_fim_dia,a3_fim_dia,gab_direcao,gab_magnitude,gab_ancora,gab_fim,gab_evento,gab_pos_ancora
2022-06-16 12:00:00,JPY,77.44773522031662,1.9364556411508307,15.16082887464406,-12.814858872480478,0.5893521202021,0.8571428571428571,4.0,0.0,0.0,2,31.52983296848302,27.763116647170392,51.43105542741165,65.28964020136624,74.61920791310783,77.44773522031662,0.5290480267966965,0.8068603982633128,toquio,540.0,True,0.5640365974502725,-1.4458007866045222,0.4460570780360492,-0.1562378077335954,-13.484363494436842,0.2641850326010895,-0.07051513152629008,-12.891458572460678,0.17204543676651396,-0.14326187448603167,-32.22708651977152,0.07291488679105729,0.39999199500568927,0.0,-0.1327456876496862,0.034764299559671086,,,,,False,False
2024-05-17 23:00:00,USD,49.67902755965136,-0.04338793439375794,10.930844140519547,7.409246646375834,0.38055735155480963,0.2857142857142857,4.0,0.0,0.0,6,68.04697027761262,55.46889407104422,29.376866666642893,31.200546139352948,40.15838067957426,49.67902755965136,1.2582409794639333,0.7575865849005742,ny,480.0,True,-0.0878478250080623,2.495215924506738,0.02775319548080852,0.08857896883279909,3.732285555482761,0.05300994589242902,0.07009076896170144,3.732285555482761,0.05300994589242902,0.07009076896170144,3.732285555482761,0.05300994589242902,0.07009076896170144,0.05300994589242902,0.05300994589242902,0.07009076896170144,,,,,False,False
2024-11-08 17:30:00,CHF,49.66172231597177,-0.01975676330825243,-16.315687378386812,-17.502927938241285,-0.7337297143390428,0.42857142857142855,4.0,0.0,0.0,5,66.70885374233657,55.9880685985832,25.04219540641426,48.69269428370102,48.66727006627031,49.66172231597177,-0.6919482743257239,-1.2390738458507664,londres,450.0,False,0.2853001501175075,4.209408438483159,0.014570926402550533,0.04013379608918144,6.32653881342479,0.07099784134578507,0.2646592831610879,0.7095700781659744,0.007428039426580824,0.5884685862313482,-4.651083458148435,-0.09496049936860262,0.42205640280355416,0.027821442632852023,-0.059731182711241726,0.3099637896926385,,,,,False,False
2023-09-05 11:30:00,AUD,37.182172205569074,-0.6807577041913098,10.702900698429008,2.318867286527034,0.3976899897298144,0.8571428571428571,3.0,0.0,0.0,8,27.958591737409236,50.5542380199184,64.9340706013231,23.42065172936057,28.571428571428573,37.182172205569074,1.1851543851224327,1.5908137530230864,toquio,510.0,True,-1.158657619912532,14.808665122996231,0.0968506393359565,-0.14227060947254278,13.720001431821657,0.13928673372218947,-0.20798734072365677,-3.589064550202913,0.041074991964135554,-0.08026075938088562,1.615511105367375,-0.06705594371169887,0.2156586395685124,0.0968506393359565,0.20040590516772194,-0.1665188469458354,,,,,False,False
2023-04-05 04:00:00,CHF,55.123068146737104,0.4209852658324406,4.937243518237352,13.251080844513368,0.24069445409146195,0.5714285714285714,4.0,0.0,0.0,4,71.1387384839961,63.803358736598355,57.650489938357794,55.70364041817485,54.633425819200184,55.123068146737104,-0.4012716796222734,0.06720365082592518,toquio,60.0,True,0.04196040368407385,-4.898861533366258,-0.02005819846349641,-0.015142736467393364,3.323968003342152,0.022428898251155953,-0.04877023712059246,-7.099148672022878,-0.08601423123130678,-0.33111789369356315,-9.399484897296581,-0.04336845682965578,-0.20162246425912264,0.2684651257792973,0.08189493705371154,0.305399991293106,,,,,False,False
2023-10-09 03:30:00,JPY,45.98534141669913,-0.39718873451646763,-25.174433260990725,-76.11672190552812,-1.0808938907807433,0.5714285714285714,4.0,0.0,0.0,7,27.037890172409202,39.34015305668892,31.199580901795144,25.964264100838655,37.71740481716448,45.98534141669913,-0.984097889163575,-0.4246902727623026,toquio,30.0,True,-0.04794456877128541,-1.7988058655307952,-0.027139338788480204,0.13682518438219712,18.439191670633505,0.043433722973793054,0.020094133308464164,7.380177873390544,0.03911209242906168,-0.01996429758050513,16.185396055302263,0.15755475424347026,-0.1786929230674226,0.21252388662280386,0.227550053118044,0.42574344403896597,,,,,False,False
2022-03-29 19:00:00,CHF,67.94289430559891,1.4236552979207622,8.291283615456592,-18.02809122885087,0.29262591097489155,1.0,3.0,1.0,0.0,2,60.96052365532178,47.35248235587154,44.27341711228395,50.0491191649996,61.735024568903256,67.94289430559891,0.20869927187139992,0.3426256637022353,londres,540.0,True,-0.01763371232297723,-15.299584204261578,-0.059889085750833786,0.04578245092487028,-18.351281566734954,-0.0957804772349111,-0.09356004293959061,-9.282100064044563,-0.049870399757920784,-0.07928017517785421,-6.233583832481379,-0.015525376188045899,0.11372326303460237,0.0,-0.01179877758665927,0.025035364351051137,,,,,False,False
2022-11-15 16:00:00,CHF,38.89719450844305,-0.565438175042044,-11.810116911481913,-22.794332997646244,-0.43449262101420216,0.7142857142857143,3.0,0.0,0.0,6,59.89042730449922,66.9836563404424,70.71824196159018,46.864082251767556,38.341651202154154,38.89719450844305,-0.08509364442528222,-0.07031886529292689,londres,360.0,False,-0.5584406482476407,-18.02948422808997,-0.2886664504905876,-0.062364518222576326,9.634913391248809,-0.0824723047884065,-0.2742791270406832,-12.82331270193318,-0.26057148499046623,-0.505901172964625,-9.968168956606444,-0.26302505358357886,-0.5544019366075346,-0.2441390493432798,-0.10561150591693336,-0.7125554592672941,,,,,False,False
2023-09-13 22:00:00,CAD,41.720763573473135,-0.9329187527767653,-21.821509134678678,-31.426977428910725,-0.6983846031242594,0.7142857142857143,2.0,0.0,0.0,8,47.72446574019223,59.32223125823853,73.17308044679957,65.08464373899372,42.362880997157156,41.720763573473135,1.884450587040566,1.5387537578522241,ny,420.0,True,0.025981472037921133,17.415178949377093,0.08095660934304624,-0.06782433964986806,15.946491771747482,0.10969237527002455,-0.14842303592554945,24.291066019411318,0.17125853480578032,-0.2269956677288938,0.6648187640295475,0.17125853480578032,-0.2269956677288938,0.17125853480578032,0.17125853480578032,-0.2269956677288938,,,,,False,False
2023-08-22 05:00:00,USD,34.37652939055391,-1.4429426267510688,-13.484454047337572,-8.362827672984764,-0.45401098590871025,1.0,3.0,0.0,0.0,8,40.11041498895227,67.80989867570285,57.06763567524739,44.445688428751986,30.447513164518085,34.37652939055391,0.27809472920308603,0.17820287041016386,toquio,120.0,True,-0.0566095606399853,-8.562487947454208,-0.08065497559274237,0.0598093317406757,8.482479083639284,-0.024517611167380528,0.0026579033461336526,-5.557754542836683,-0.11257600760483163,0.05496895901725228,23.848008147377215,-0.012541376184084345,-0.07349553527582248,-0.25523212262625283,0.14679888572756614,-0.4410564015882479,,,,,False,False
2022-06-16 11:00:00,JPY,61.07354155442155,0.6599701208173638,31.570010527236942,50.10317403307446,1.1978893125102574,0.8571428571428571,3.0,0.0,0.0,3,31.52983296848302,27.763116647170392,51.43105542741165,43.49633515159334,61.07354155442155,67.42520774240162,0.977053054210859,1.110116879868585,toquio,480.0,True,0.011087389482226888,0.0,0.3977210676691381,-0.4806287381117682,13.545666358686276,0.5529492079680456,-0.4442127279424356,15.212283186586973,0.8171342405691351,-0.5298964462477016,17.627010291015083,0.9553272705509719,-0.13616375237587547,0.5529492079680456,0.4202035203183594,-0.5009935980143811,,,,,False,False
2024-05-20 04:00:00,USD,48.81377454228556,-0.08216577162157383,15.33556000222405,31.511542947239775,0.5943446624123893,0.5714285714285714,4.0,0.0,0.0,5,68.04697027761262,44.06408331878286,35.89497594342505,45.424801940749596,48.81377454228556,48.82661568939269,1.6932491844583029,0.6798938578560008,toquio,60.0,True,0.02150891472764157,0.0,0.01716605684813302,0.013287788536410952,-2.276497852515874,-0.022904999533999458,0.0600675203103201,4.132098543641007,0.021602009998236325,-0.07071299878578889,-12.548069220120041,-0.058433026062661056,0.0644018813758929,0.02881420732609883,0.2960241190182798,-0.49332237156410147,,,,,False,False
2024-11-08 19:00:00,CHF,54.1287574428688,0.212430515187394,-22.079093593258307,-45.591695276426606,-0.9749048578553712,0.5714285714285714,2.0,0.0,0.0,4,66.70885374233657,55.9880685985832,25.04219540641426,48.69269428370102,54.1287574428688,51.01460048061116,-0.6584678808549609,-1.0032308654373887,londres,540.0,False,0.3131215927503595,0.0,-0.0203934032062712,0.12897094008657317,-14.923625726858006,-0.11486558654461207,-0.1296167193768264,-13.7465778419527,-0.12372384816819001,-0.045505613152928226,-4.314702843822538,-0.11223577140322619,-0.24103962424868108,0.0,-0.08755262534409375,-0.26474372178347805,,,,,False,False
2023-09-05 10:00:00,AUD,17.142857142857146,-1.6278400116884648,-2.194493497723112,16.199051083734304,-0.07587763670765227,1.0,3.0,0.0,0.0,8,27.958591737409236,50.5542380199184,64.9340706013231,23.42065172936057,17.142857142857146,19.088254300405914,1.8709128342484713,1.669105725895784,toquio,420.0,True,-1.2265362062297702,0.0,-0.09717463537962834,0.1836615428873376,11.428571428571427,0.0385632977640038,0.08869369712551356,24.5128147643021,0.1647292256531947,0.06584823902099901,5.259609193174946,-0.006877137053640903,0.2995233987013831,0.1647292256531947,0.26828449148496014,0.04160000154770638,,,,,False,False
2023-04-05 04:00:00,CHF,54.633425819200184,0.4717937546402773,-13.221304427203819,-19.95311311665523,-0.58808767681009,0.5714285714285714,4.0,0.0,0.0,4,71.1387384839961,63.803358736598355,57.650489938357794,55.70364041817485,54.633425819200184,55.123068146737104,-0.4012716796222734,0.06720365082592518,toquio,60.0,True,0.04196040368407385,0.0,-0.02005819846349641,-0.015142736467393364,7.069120054774444,0.022428898251155953,-0.04877023712059246,-4.863818503385275,-0.08601423123130678,-0.33111789369356315,-0.44507738763228133,-0.04336845682965578,-0.20162246425912264,0.2684651257792973,0.08189493705371154,0.305399991293106,,,,,False,False
2023-10-09 05:00:00,JPY,52.71798378530831,0.2463406931413906,13.41555029932978,14.296843167881775,0.4166676198546347,0.7142857142857143,2.0,0.0,0.0,3,27.037890172409202,39.34015305668892,31.199580901795144,40.683744061303244,52.71798378530831,57.62458711482833,0.5952085753347369,0.0256062527713468,toquio,120.0,True,-0.007459608143698732,0.0,-0.0013728681985249952,-0.021802946195716925,2.5226316996530187,0.035292822274683486,0.03846096365990971,7.4418626719927445,0.12093139177707554,0.215041359675081,-14.185835154101973,0.057295247314890385,0.21373849661239858,0.17203892599521717,0.1870650924904573,-0.21568517156377198,,,,,False,False
2022-03-29 18:00:00,CHF,52.31468290729857,0.19448174107014377,18.51206873587264,45.26326262830754,0.7198467585059705,0.42857142857142855,3.0,0.0,0.0,5,60.96052365532178,47.35248235587154,44.27341711228395,50.0491191649996,52.31468290729857,50.70700836965682,0.22879262793050567,0.4098583188253395,londres,480.0,True,-0.15845892917786836,0.0,0.0341066676940968,0.0018816933326662871,9.420341661604688,0.14082521685489113,0.012883420413616928,-0.47114000484113916,0.04504473961998004,-0.08067662252597368,-1.1647030297667271,0.08482189128436263,0.19533779201782747,0.14082521685489113,0.12902643926823185,0.03791878476466809,,,,,False,False
2022-11-15 14:00:00,CHF,34.01610898098488,-1.055049314068887,-8.861441478760817,13.570119734738455,-0.33718021827959077,0.8571428571428571,2.0,0.0,0.0,7,59.89042730449922,66.9836563404424,70.71824196159018,54.201853660607966,34.01610898098488,34.047214133184646,-0.07381936778649914,0.010993577690450956,londres,240.0,False,-0.3697018655687521,0.0,-0.0868910713322722,0.15581165033312738,-7.037575186730223,-0.128751729255084,0.2649361595202255,4.325542221169272,-0.1887387826788886,0.5505276251569324,-8.402578761108451,-0.44931026766935483,0.2713731146213964,-0.4328778320221684,-0.29435028859582196,-0.10228999082018703,,,,,False,False
2023-09-13 22:00:00,CAD,42.362880997157156,-1.0585853632771889,-14.587911200347477,-23.291803524928945,-0.5582922797592171,0.8571428571428571,2.0,0.0,0.0,8,47.72446574019223,59.32223125823853,73.17308044679957,65.08464373899372,42.362880997157156,41.720763573473135,1.884450587040566,1.5387537578522241,ny,420.0,True,0.025981472037921133,0.0,0.08095660934304624,-0.06782433964986806,19.445236791144275,0.10969237527002455,-0.14842303592554945,20.005813711025425,0.17125853480578032,-0.2269956677288938,3.704674515403852,0.17125853480578032,-0.2269956677288938,0.17125853480578032,0.17125853480578032,-0.2269956677288938,,,,,False,False
2023-08-22 06:00:00,USD,37.663789958398006,-1.2815173221147944,-11.760915354073425,9.579170703829341,-0.35123222342183713,0.8571428571428571,3.0,0.0,0.0,7,40.11041498895227,67.80989867570285,57.06763567524739,44.445688428751986,37.663789958398006,42.859008474193196,-0.9096667259760064,-0.5275636134115215,toquio,180.0,True,-0.08112717180736582,0.0,-0.11887809409755352,0.08532273339943511,-10.423087741061956,-0.0880583964374511,0.10482729551072867,9.610716827633105,-0.02122433877820959,0.017152768464511352,-15.861832913377953,-0.2069855505802749,0.47244563911253107,-0.23071451145887228,0.17131649689494666,0.33677045134107286,,,,,False,False
2024-11-18 21:30:00,JPY,51.91595164353171,0.2628113263473749,11.390908858475264,-2.488813768195172,0.3393161292299317,0.8571428571428571,,,,7,34.092205206046124,53.0162331763517,68.57498132212997,47.711421683199596,29.21822183600194,46.509166548151164,2.2965421128158066,2.923948380633744,ny,390.0,False,-0.5001195920274356,-21.925312824781926,-0.05368097205858835,-0.06524376449843838,3.7662285618035085,-0.013760613306309177,-0.03865701486952362,5.863947216147956,0.009848994675163203,-0.02426746139106982,24.75071502313496,-0.03877208572805857,0.017007868471013515,-0.03877208572805857,-0.03877208572805857,0.017007868471013515,,,,,False,False
2025-05-21 12:00:00,USD,72.76413065473993,1.5371200586150517,21.12399840773982,14.528328355333777,0.7517023136823064,1.0,,,,3,32.126151054092404,44.6367469875607,42.65754617772851,36.924293655636816,55.43313566620405,64.1987947489821,-0.09567300334396836,-0.01462358780899433,toquio,540.0,True,-0.14385759134581963,-1.4049595415904719,0.008473637628327702,-0.05551777549539619,-21.63324765571803,-0.06994552075553573,0.11748646143021962,-15.689661593423494,-0.16243126369996227,-0.06655567090705335,-40.26115509462885,-0.17787055694688333,-0.17358293782395556,0.0,-0.15860605866520935,-0.24007324560273158,,,,,False,False
2025-07-07 20:00:00,CHF,59.68462758484094,0.6432847595018694,2.844990313168182,-19.311608041140296,,0.7142857142857143,,,,4,76.03016374196335,71.0728963276523,68.94015834945169,53.72065368433115,51.35758252259061,,0.8652872478964214,0.5126505706073379,ny,300.0,True,0.13252471418727158,-20.644752769153527,-0.07606159479359918,0.0025737283725189575,-13.026045745262174,-0.07874192519679196,-0.17940098950507388,-16.196738445154175,-0.07145900928931088,-0.3554495010870987,8.922342468375689,0.09709342278739816,-0.17118878710771307,0.09709342278739816,0.09709342278739816,-0.17118878710771307,,,,,False,False
2025-03-13 15:00:00,AUD,36.24226976808307,-0.8846162950517302,-9.817997613438244,-8.78952257356756,-0.3789890490726275,0.7142857142857143,,,,6,38.1103827382791,30.916413490034937,,39.12677051641213,36.63710301734379,43.58934211249368,-0.10925510532114598,0.17674059362569025,londres,300.0,False,-0.5605791316643043,2.6488299018957804,-0.05340204173190033,-0.01295152475123873,11.332396564383245,-0.006523471507343448,-0.16037718950642138,36.85077093664126,0.14281556246613575,-0.36866747786826937,7.863388240361147,0.07472217165419243,-0.4611912539193733,0.07472217165419243,0.04436000353624947,-0.17277419145129805,,,,,False,False
2025-02-04 05:00:00,CHF,55.479501266929006,0.49024800884912284,5.475529412390962,-0.5702161450519512,0.2465096741307421,0.5714285714285714,,,,6,50.7456758713641,46.49905486982408,,41.77727973115654,50.16698559965336,54.911065821579996,0.8567586204405863,6.3175857476110195,toquio,180.0,False,0.10718702723413938,7.805277653542731,0.03334274907611855,-0.055959933405355745,15.823356717153487,0.09108172557340001,-0.12381813424068343,10.868996151509066,0.1225188927109208,-0.23614068637752933,-14.220738210517972,0.058145255796048526,-0.18508557629430122,0.25869241920131647,0.29942348996819346,0.11267216356170538,,,,,False,False
2025-03-21 19:30:00,JPY,39.33807856684639,-1.3362260326257283,-15.597766224410208,-29.595436954375224,-0.4273265951449208,0.8571428571428571,,,,7,71.2012772000115,59.56253153431762,,69.80987588679899,42.275095122325446,51.71920587422556,0.7866697658430571,0.9970730861694191,ny,330.0,False,-0.10762479320515718,-8.18239583505122,-0.045597531911511544,0.016693595695689067,-3.4312696260952293,-0.04516429982029953,-0.04591765817414578,9.73226264657346,-0.019612030175992848,0.016025728405657635,22.68891222141272,0.007221841449624691,-0.06053473878626564,0.007221841449624691,0.007221841449624691,-0.06053473878626564,,,,,False,False
2024-10-29 13:45:00,CHF,25.32778768051955,-1.5002374072181817,-11.474346031029,-20.847773749387592,-0.404352250274768,1.0,,,,8,57.002571649566136,64.8375904385404,69.79161914754334,44.34718725856975,25.19589952500403,34.366340054315934,0.29544070485217694,0.29532464378041884,londres,210.0,False,-0.3413721631207792,14.589458039740421,-0.06819117175716932,0.20283551988436432,2.7711314946453136,-0.07246624316015587,0.22393089794598997,14.737551841032044,-0.19658809726703785,0.3652753275190795,32.77697138640671,-0.16194469371241016,0.45558946090254676,-0.22178714910843844,-0.007071624255591158,0.42705877105022166,,,,,False,False
2024-12-27 00:00:00,CHF,69.32164527106325,1.2774719779698738,-1.2887280789814355,-8.070540407780797,-0.06580723442820882,1.0,,,,4,57.68398685299671,63.27795355566386,,,,,,,ny,540.0,False,0.37451219242204237,-20.650746248760562,0.0,0.0,-7.3503354610006895,0.0,0.0,-37.649395862855826,0.0,0.0,-27.66671377695259,0.0,0.0,0.0,0.0,0.0,,,,,False,False
2025-03-17 09:15:00,CAD,59.53354753397575,0.5325999012839121,11.867183961503422,23.78036175367366,0.4073006341133634,0.7142857142857143,,,,2,39.07635664041092,35.19417423919844,,52.459552040400446,61.53642075630111,65.6004511492334,0.5333319275799009,1.7178044715524414,toquio,420.0,False,0.04428238236965059,-8.717195618557362,-0.03923964985043196,0.12943554359895476,-15.99867584132366,-0.05256878496444683,0.06115642867134305,2.707776596243285,-0.09016028694124723,0.22959844317589972,-27.090825787696474,-0.18022809327086176,0.15818107116942406,-0.09016028694124723,0.07352125511894878,1.2499972591872615,,,,,False,False
2025-03-10 22:00:00,USD,48.47504500591997,-0.13097589653469885,-30.185093044964447,-37.079243139766035,-1.135216255369971,0.7142857142857143,,,,1,60.17852523228482,36.08839108891706,,61.55863513457095,60.78969810013366,58.63057414406436,-0.06317392499922185,0.15157196752065774,ny,480.0,False,0.3668825215742683,20.385319088230133,0.07545810421334054,0.0849199032717668,-11.552914103120969,-0.010165049989136254,-0.0027848911323705983,-4.94919223342567,-0.010165049989136254,-0.0027848911323705983,-5.650532519304072,-0.010165049989136254,-0.0027848911323705983,-0.010165049989136254,-0.010165049989136254,-0.0027848911323705983,,,,,False,False
2024-11-18 21:20:00,JPY,63.76901121880591,1.4888992994071713,-1.4377884793995932,-32.98223716312377,-0.04147862259884838,1.0,,,,7,34.092205206046124,53.0162331763517,68.57498132212997,47.711421683199596,29.21822183600194,40.84967649849096,2.308969276681974,2.894135329727421,ny,360.0,False,-0.5275358043587728,-18.108740084496965,0.027416212331337175,-0.03716010474578353,5.104156886882471,-0.026264759727251175,-0.1024038692442219,-0.931916688510249,0.04316502506015396,0.005162666348191833,3.1371749386076644,-0.011355873396721394,-0.020152236274770016,-0.011355873396721394,-0.011355873396721394,-0.020152236274770016,,,,,False,False
2025-05-21 11:20:00,USD,65.55966714252803,1.0371077692605668,-10.851900043458087,-11.019768372391482,-0.27658174707365624,0.8571428571428571,,,,5,32.126151054092404,44.6367469875607,42.65754617772851,19.304409900045012,49.833228382965466,49.257407671969005,-0.4442950695090369,-0.44703404406285957,toquio,480.0,True,-0.25082579941091326,12.077790175464699,0.07645706295551616,-0.08955672526101555,-15.703749428994257,0.10696820806509363,-0.028144277883187158,-45.212704063698965,0.037022687309557906,-0.15292649626089724,-32.89177767645146,0.027634827463770023,-0.10983539553674389,0.10696820806509363,-0.05163785060011572,-0.35175662468379043,,,,,False,False
2025-07-07 20:15:00,CHF,38.39046899908339,-1.3039976685647534,-17.734798000194168,-43.235102209345186,-0.6579339414101185,1.0,,,,4,76.03016374196335,71.0728963276523,68.94015834945169,53.72065368433115,51.35758252259061,,0.8652872478964214,0.5126505706073379,ny,300.0,True,0.13252471418727158,7.146418866630647,-0.07606159479359918,0.0025737283725189575,10.668605371491665,-0.07874192519679196,-0.17940098950507388,7.932268877061638,-0.07145900928931088,-0.3554495010870987,16.390642745641124,0.09709342278739816,-0.17118878710771307,0.09709342278739816,0.09709342278739816,-0.17118878710771307,,,,,False,False
2025-03-13 15:15:00,AUD,46.86670659642687,-0.19228989447380396,4.20970968059553,-2.0151102854222174,0.16812352493511692,0.5714285714285714,,,,6,38.1103827382791,30.916413490034937,,39.12677051641213,36.63710301734379,43.58934211249368,-0.10925510532114598,0.17674059362569025,londres,300.0,False,-0.5605791316643043,2.7303970464293172,-0.05340204173190033,-0.01295152475123873,21.082173207422493,-0.006523471507343448,-0.16037718950642138,1.2238548985556932,0.14281556246613575,-0.36866747786826937,-18.767666130958332,0.07472217165419243,-0.4611912539193733,0.07472217165419243,0.04436000353624947,-0.17277419145129805,,,,,False,False
2025-02-04 05:15:00,CHF,61.50452165116617,0.8964518044297564,-7.6645981717745,-15.253603004105514,-0.390816151030344,0.5714285714285714,,,,6,50.7456758713641,46.49905486982408,,41.77727973115654,50.16698559965336,54.911065821579996,0.8567586204405863,6.3175857476110195,toquio,180.0,False,0.10718702723413938,10.662727074092132,0.03334274907611855,-0.055959933405355745,-6.031143089580972,0.09108172557340001,-0.12381813424068343,1.3526212059766891,0.1225188927109208,-0.23614068637752933,-24.91943302570766,0.058145255796048526,-0.18508557629430122,0.25869241920131647,0.29942348996819346,0.11267216356170538,,,,,False,False
2025-03-21 18:55:00,JPY,23.49568548463848,-1.9995862372987219,-6.6037013188097085,26.995857646642026,-0.2367760374611746,1.0,,,,2,71.2012772000115,59.56253153431762,,69.80987588679899,71.88806574567127,46.84243528161233,0.7640908452571126,1.0039258283609258,londres,510.0,False,-0.0254562866913827,4.876280967280788,-0.12011644377628486,-0.07320133695596531,5.217466740807023,-0.08216850651377448,-0.023891733167339085,43.17069220325977,-0.127332806334074,-0.06375230075894034,31.586484901809456,-0.15781439575404388,-0.026506243529482276,-0.12011644377628486,-0.07494666506414979,-0.02607634306140652,,,,,False,False
2024-10-29 13:35:00,CHF,24.18652206089019,-1.776667180098251,-21.163234261151963,-27.08244000868084,-0.7901345858785037,1.0,,,,8,57.002571649566136,64.8375904385404,69.79161914754334,44.34718725856975,25.19589952500403,34.366340054315934,0.29544070485217694,0.29532464378041884,londres,210.0,False,-0.3413721631207792,10.218293984853382,-0.06819117175716932,0.20283551988436432,5.984179619868598,-0.07246624316015587,0.22393089794598997,29.470610259058425,-0.19658809726703785,0.3652753275190795,33.51692276129379,-0.16194469371241016,0.45558946090254676,-0.22178714910843844,-0.007071624255591158,0.42705877105022166,,,,,False,False
2024-12-27 00:10:00,CHF,59.68513353624555,0.7896407245402023,4.022745424392475,7.6922599397021045,0.18287754216843674,0.7142857142857143,,,,4,57.68398685299671,63.27795355566386,,,,,,,ny,540.0,False,0.37451219242204237,-16.930383720355664,0.0,0.0,-11.444268358867163,0.0,0.0,-26.957380994209196,0.0,0.0,-9.949034002435141,0.0,0.0,0.0,0.0,0.0,,,,,False,False
2025-03-17 09:05:00,CAD,53.86091796363722,0.2169570870654011,23.07786373762869,40.40483046491086,0.9468912564682064,0.7142857142857143,,,,2,39.07635664041092,35.19417423919844,,52.459552040400446,61.53642075630111,65.6004511492334,0.5333319275799009,1.7178044715524414,toquio,420.0,False,0.04428238236965059,4.678610309953491,-0.03923964985043196,0.12943554359895476,-4.24010917433516,-0.05256878496444683,0.06115642867134305,-7.872431052950056,-0.09016028694124723,0.22959844317589972,-15.330414827810948,-0.18022809327086176,0.15818107116942406,-0.09016028694124723,0.07352125511894878,1.2499972591872615,,,,,False,False
2025-03-10 21:35:00,USD,50.26608702310317,0.014935980841675009,-12.641984127464163,-14.291112762075535,-0.5747652804953874,0.42857142857142855,,,,1,60.17852523228482,36.08839108891706,,61.55863513457095,75.51917107540841,56.91015767311405,0.0628151686598882,0.30649311130880214,ny,450.0,False,0.3961515004132417,-17.197819336359743,-0.029268978838973392,-0.06361146027534376,2.171485175839443,0.046189125374367146,0.13438551261041842,-10.29987623520666,-0.039434028828109646,0.028266447405268513,-5.788866687751657,-0.039434028828109646,0.028266447405268513,-0.039434028828109646,-0.039434028828109646,0.028266447405268513,,,,,False,False
